State;TotalRank;TotalSqMi;TotalKmQ;LandRank;LandSqMi;LandKmQ;LandPer;WaterRank;WaterSqMi;WaterKmQ;WaterPer
Alaska;1;665384.04;1723337;1;570640.95;1477953;85.76;1;94743.10;245384;14.24
Texas;2;268596.46;695662;2;261231.71;676587;97.26;8;7364.75;19075;2.74
California;3;163694.74;423967;3;155779.22;403466;95.16;6;7915.52;20501;4.84
Montana;4;147039.71;380831;4;145545.80;376962;98.98;26;1493.91;3869;1.02
New Mexico;5;121590.30;314917;5;121298.15;314161;99.76;49;292.15;757;0.24
Arizona;6;113990.30;295234;6;113594.08;294207;99.65;48;396.22;1026;0.35
Nevada;7;110571.82;286380;7;109781.18;284332;99.28;36;790.65;2048;0.72
Colorado;8;104093.67;269601;8;103641.89;268431;99.57;44;451.78;1170;0.43
Oregon;9;98378.54;254799;10;95988.01;248608;97.57;20;2390.53;6191;2.43
Wyoming;10;97813.01;253335;9;97093.14;251470;99.26;37;719.87;1864;0.74
Michigan;11;96713.51;250487;22;56538.90;146435;58.46;2;40174.61;104052;41.54
Minnesota;12;86935.83;225163;14;79626.74;206232;91.59;9;7309.09;18930;8.41
Utah;13;84896.88;219882;12;82169.62;212818;96.79;17;2727.26;7064;3.21
Idaho;14;83568.95;216443;11;82643.12;214045;98.89;33;925.83;2398;1.11
Kansas;15;82278.36;213100;13;81758.72;211754;99.37;42;519.64;1346;0.63
Nebraska;16;77347.81;200330;15;76824.17;198974;99.32;41;523.64;1356;0.68
South Dakota;17;77115.68;199729;16;75811.00;196350;98.31;29;1304.68;3379;1.69
Washington;18;71297.95;184661;20;66455.52;172119;93.21;11;4842.43;12542;6.79
North Dakota;19;70698.32;183108;17;69000.80;178711;97.60;24;1697.52;4397;2.40
Oklahoma;20;69898.87;181037;19;68594.92;177660;98.13;30;1303.95;3377;1.87
Missouri;21;69706.99;180540;18;68741.52;178040;98.61;32;965.47;2501;1.39
Florida;22;65757.70;170312;26;53624.76;138887;81.55;3;12132.94;31424;18.45
Wisconsin;23;65496.38;169635;25;54157.80;140268;82.69;4;11338.57;29367;17.31
Georgia;24;59425.15;153910;21;57513.49;148959;96.78;22;1911.66;4951;3.22
Illinois;25;57913.55;149995;24;55518.93;143793;95.87;19;2394.62;6202;4.13
Iowa;26;56272.81;145746;23;55857.13;144669;99.26;45;415.68;1077;0.74
New York;27;54554.98;141297;30;47126.40;122057;86.38;7;7428.58;19240;13.62
North Carolina;28;53819.16;139391;29;48617.91;125920;90.34;10;5201.25;13471;9.66
Arkansas;29;53178.55;137732;27;52035.48;134771;97.85;31;1143.07;2961;2.15
Alabama;30;52420.07;135767;28;50645.33;131171;96.61;23;1774.74;4597;3.39
Louisiana;31;52378.13;135659;33;43203.90;111898;82.48;5;9174.23;23761;17.52
Mississippi;32;48431.78;125438;31;46923.27;121531;96.89;25;1508.51;3907;3.11
Pennsylvania;33;46054.34;119280;32;44742.70;115883;97.15;28;1311.64;3397;2.85
Ohio;34;44825.58;116098;35;40860.69;105829;91.15;14;3964.89;10269;8.85
Virginia;35;42774.93;110787;36;39490.09;102279;92.32;15;3284.84;8508;7.68
Tennessee;36;42144.25;109153;34;41234.90;106798;97.84;35;909.36;2355;2.16
Kentucky;37;40407.80;104656;37;39486.34;102269;97.72;34;921.46;2387;2.28
Indiana;38;36419.55;94326;38;35826.11;92789;98.37;39;593.44;1537;1.63
Maine;39;35379.74;91633;39;30842.92;79883;87.18;12;4536.82;11750;12.82
South Carolina;40;32020.49;82933;40;30060.70;77857;93.88;21;1959.79;5076;6.12
West Virginia;41;24230.04;62756;41;24038.21;62259;99.21;50;191.83;497;0.79
Maryland;42;12405.93;32131;42;9707.24;25142;78.25;18;2698.69;6990;21.75
Hawaii;43;10931.72;28313;47;6422.63;16635;58.75;13;4509.09;11678;41.25
Massachusetts;44;10554.39;27336;45;7800.06;20202;73.90;16;2754.33;7134;26.10
Vermont;45;9616.36;24906;43;9216.66;23871;95.84;46;399.71;1035;4.16
New Hampshire;46;9349.16;24214;44;8952.65;23187;95.76;47;396.51;1027;4.24
New Jersey;47;8722.58;22591;46;7354.22;19047;84.31;27;1368.36;3544;15.69
Connecticut;48;5543.41;14357;48;4842.36;12542;87.35;38;701.06;1816;12.65
Delaware;49;2488.72;6446;49;1948.54;5047;78.29;40;540.18;1399;21.71
Rhode Island;50;1544.89;4001;50;1033.81;2678;66.92;43;511.07;1324;33.08
